Player Name,Fantasy Team,POS,TEAM,SLOT,PROJ,FPTS,Week,Year
Austin Ekeler,Team Perrotti,RB,,RB,,22.7,3,2021
Allen Robinson II,Team Perrotti,WR,,WR,,4.7,3,2021
CeeDee Lamb,Team Perrotti,WR,,WR,,9.5,3,2021
Logan Thomas,Team Perrotti,TE,,TE,,12.2,3,2021
Chase Claypool,Team Perrotti,WR,,FLEX,,18.6,3,2021
Saints,Team Perrotti,D/ST,,D/ST,,19,3,2021
Greg Zuerlein,Team Perrotti,K,,K,,5,3,2021
Daniel Jones,Team Sachs,QB,,QB,,16.54,3,2021
Aaron Jones,Team Sachs,RB,,RB,,17.6,3,2021
Christian McCaffrey,Team Sachs,RB,,RB,,6,3,2021
Cooper Kupp,Team Sachs,WR,,WR,,30.6,3,2021
Amari Cooper,Team Sachs,WR,,WR,,5.6,3,2021
T.J. Hockenson,Team Sachs,TE,,TE,,3,3,2021
Mike Evans,Team Sachs,WR,,FLEX,,18.6,3,2021
Cardinals,Team Sachs,D/ST,,D/ST,,16,3,2021
Matt Gay,Team Sachs,K,,K,,11,3,2021
Jalen Hurts,Team Acquarulo,QB,,QB,,20.54,3,2021
D'Andre Swift,Team Acquarulo,RB,,RB,,23.7,3,2021
Saquon Barkley,Team Acquarulo,RB,,RB,,21.4,3,2021
Adam Thielen,Team Acquarulo,WR,,WR,,17,3,2021
DJ Moore,Team Acquarulo,WR,,WR,,20.5,3,2021
George Kittle,Team Acquarulo,TE,,TE,,17.1,3,2021
David Montgomery,Team Acquarulo,RB,,FLEX,,7.5,3,2021
Panthers,Team Acquarulo,D/ST,,D/ST,,10,3,2021
Brandon McManus,Team Acquarulo,K,,K,,16,3,2021
Russell Wilson,Team Shamas,QB,,QB,,16.62,3,2021
Ty'Son Williams,Team Shamas,RB,,RB,,2.2,3,2021
Joe Mixon,Team Shamas,RB,,RB,,10.4,3,2021
DK Metcalf,Team Shamas,WR,,WR,,22.7,3,2021
Stefon Diggs,Team Shamas,WR,,WR,,12.2,3,2021
Travis Kelce,Team Shamas,TE,,TE,,17.4,3,2021
Julio Jones,Team Shamas,WR,,FLEX,,7.7,3,2021
Broncos,Team Shamas,D/ST,,D/ST,,17,3,2021
Daniel Carlson,Team Shamas,K,,K,,13,3,2021
Dak Prescott,Team Pawlowicz,QB,,QB,,20.12,3,2021
Antonio Gibson,Team Pawlowicz,RB,,RB,,17.4,3,2021
Zack Moss,Team Pawlowicz,RB,,RB,,18.1,3,2021
Tyreek Hill,Team Pawlowicz,WR,,WR,,9.7,3,2021
Tyler Lockett,Team Pawlowicz,WR,,WR,,7.1,3,2021
Rob Gronkowski,Team Pawlowicz,TE,,TE,,9.5,3,2021
Justin Jefferson,Team Pawlowicz,WR,,FLEX,,26.8,3,2021
Steelers,Team Pawlowicz,D/ST,,D/ST,,4,3,2021
Jason Myers,Team Pawlowicz,K,,K,,6,3,2021
Aaron Rodgers,Team Loomis,QB,,QB,,19.04,3,2021
Alvin Kamara,Team Loomis,RB,,RB,,20.8,3,2021
Chris Carson,Team Loomis,RB,,RB,,16.2,3,2021
DeAndre Hopkins,Team Loomis,WR,,WR,,5.1,3,2021
Keenan Allen,Team Loomis,WR,,WR,,19,3,2021
Tyler Higbee,Team Loomis,TE,,TE,,15,3,2021
JuJu Smith-Schuster,Team Loomis,WR,,FLEX,,5.5,3,2021
Browns,Team Loomis,D/ST,,D/ST,,18,3,2021
