Team,Points For,Opposing Team,Points Against,Win,Loss,Week,Year,Matchup Type
willimantic crack addicts,105.54,Saquon Bustley,95.54,1,0,5,2025,Regular Season
Beef One My Balls,80.54,Team Chieffo,113.58,0,1,6,2025,Regular Season
Bower Rangers,78.32,Saquon Bustley,134.14,0,1,6,2025,Regular Season
Cook my Balls,83.66,Nix my Balls,97.06,0,1,6,2025,Regular Season
High Speed Chase,103.46,Kupp my balls,147.42,0,1,6,2025,Regular Season
Kupp my balls,147.42,High Speed Chase,103.46,1,0,6,2025,Regular Season
Nix my Balls,97.06,Cook my Balls,83.66,1,0,6,2025,Regular Season
Njigbas in Paris,144.98,S(hamas),69.9,1,0,6,2025,Regular Season
S(hamas),69.9,Njigbas in Paris,144.98,0,1,6,2025,Regular Season
Saquon Bustley,134.14,Bower Rangers,78.32,1,0,6,2025,Regular Season
Team Chieffo,113.58,Beef One My Balls,80.54,1,0,6,2025,Regular Season
lets get this money,154.42,willimantic crack addicts,105.38,1,0,6,2025,Regular Season
willimantic crack addicts,105.38,lets get this money,154.42,0,1,6,2025,Regular Season
Beef One My Balls,125.86,Saquon Bustley,144.04,0,1,7,2025,Regular Season
Bower Rangers,55.94,willimantic crack addicts,108.54,0,1,7,2025,Regular Season
Cook my Balls,103.1,Njigbas in Paris,154.98,0,1,7,2025,Regular Season
High Speed Chase,118.66,Team Chieffo,104.12,1,0,7,2025,Regular Season
Kupp my balls,109.62,Nix my Balls,140.56,0,1,7,2025,Regular Season
Nix my Balls,140.56,Kupp my balls,109.62,1,0,7,2025,Regular Season
Njigbas in Paris,154.98,Cook my Balls,103.1,1,0,7,2025,Regular Season
S(hamas),82.66,lets get this money,93.24,0,1,7,2025,Regular Season
Saquon Bustley,144.04,Beef One My Balls,125.86,1,0,7,2025,Regular Season
Team Chieffo,104.12,High Speed Chase,118.66,0,1,7,2025,Regular Season
lets get this money,93.24,S(hamas),82.66,1,0,7,2025,Regular Season
willimantic crack addicts,108.54,Bower Rangers,55.94,1,0,7,2025,Regular Season
Beef One My Balls,86.82,willimantic crack addicts,87.36,0,1,8,2025,Regular Season
Bower Rangers,100.92,S(hamas),103.12,0,1,8,2025,Regular Season
Cook my Balls,139.98,lets get this money,110.86,1,0,8,2025,Regular Season
High Speed Chase,123.7,Saquon Bustley,145.88,0,1,8,2025,Regular Season
Kupp my balls,119.68,Njigbas in Paris,102.2,1,0,8,2025,Regular Season
Nix my Balls,113.18,Team Chieffo,144.04,0,1,8,2025,Regular Season
Njigbas in Paris,102.2,Kupp my balls,119.68,0,1,8,2025,Regular Season
S(hamas),103.12,Bower Rangers,100.92,1,0,8,2025,Regular Season
Saquon Bustley,145.88,High Speed Chase,123.7,1,0,8,2025,Regular Season
Team Chieffo,144.04,Nix my Balls,113.18,1,0,8,2025,Regular Season
lets get this money,110.86,Cook my Balls,139.98,0,1,8,2025,Regular Season
willimantic crack addicts,87.36,Beef One My Balls,86.82,1,0,8,2025,Regular Season
Beef One My Balls,102.3,S(hamas),92.92,1,0,9,2025,Regular Season
Bower Rangers,141.8,Cook my Balls,134.3,1,0,9,2025,Regular Season
Cook my Balls,134.3,Bower Rangers,141.8,0,1,9,2025,Regular Season
High Speed Chase,116.22,willimantic crack addicts,101.4,1,0,9,2025,Regular Season
Kupp my balls,132.94,lets get this money,122.54,1,0,9,2025,Regular Season
Nix my Balls,96.52,Saquon Bustley,93.26,1,0,9,2025,Regular Season
Njigbas in Paris,153.76,Team Chieffo,121.88,1,0,9,2025,Regular Season
S(hamas),92.92,Beef One My Balls,102.3,0,1,9,2025,Regular Season
Saquon Bustley,93.26,Nix my Balls,96.52,0,1,9,2025,Regular Season
Team Chieffo,121.88,Njigbas in Paris,153.76,0,1,9,2025,Regular Season
lets get this money,122.54,Kupp my balls,132.94,0,1,9,2025,Regular Season
willimantic crack addicts,101.4,High Speed Chase,116.22,0,1,9,2025,Regular Season
Beef One My Balls,114.6,Cook my Balls,90.4,1,0,10,2025,Regular Season
Bower Rangers,101.2,Kupp my balls,135.32,0,1,10,2025,Regular Season
Cook my Balls,90.4,Beef One My Balls,114.6,0,1,10,2025,Regular Season
High Speed Chase,98.04,S(hamas),104.84,0,1,10,2025,Regular Season
Kupp my balls,135.32,Bower Rangers,101.2,1,0,10,2025,Regular Season
Nix my Balls,144.6,willimantic crack addicts,84.22,1,0,10,2025,Regular Season
Njigbas in Paris,132.44,Saquon Bustley,160.8,0,1,10,2025,Regular Season
S(hamas),104.84,High Speed Chase,98.04,1,0,10,2025,Regular Season
Saquon Bustley,160.8,Njigbas in Paris,132.44,1,0,10,2025,Regular Season
Team Chieffo,117.6,lets get this money,131.82,0,1,10,2025,Regular Season
lets get this money,131.82,Team Chieffo,117.6,1,0,10,2025,Regular Season
willimantic crack addicts,84.22,Nix my Balls,144.6,0,1,10,2025,Regular Season
Beef One My Balls,100.7,Kupp my balls,112.62,0,1,11,2025,Regular Season
Bower Rangers,115.76,Team Chieffo,79.7,1,0,11,2025,Regular Season
Cook my Balls,115.54,High Speed Chase,141.66,0,1,11,2025,Regular Season
High Speed Chase,141.66,Cook my Balls,115.54,1,0,11,2025,Regular Season
Kupp my balls,112.62,Beef One My Balls,100.7,1,0,11,2025,Regular Season
Nix my Balls,72.8,S(hamas),131.38,0,1,11,2025,Regular Season
Njigbas in Paris,110.32,willimantic crack addicts,110.34,0,1,11,2025,Regular Season
S(hamas),131.38,Nix my Balls,72.8,1,0,11,2025,Regular Season
Saquon Bustley,92.74,lets get this money,115.5,0,1,11,2025,Regular Season
Team Chieffo,79.7,Bower Rangers,115.76,0,1,11,2025,Regular Season
lets get this money,115.5,Saquon Bustley,92.74,1,0,11,2025,Regular Season
willimantic crack addicts,110.34,Njigbas in Paris,110.32,1,0,11,2025,Regular Season
Beef One My Balls,103.92,Team Chieffo,125.54,0,1,12,2025,Regular Season
Bower Rangers,96.56,Saquon Bustley,89.46,1,0,12,2025,Regular Season
Cook my Balls,98.52,Nix my Balls,165.18,0,1,12,2025,Regular Season
High Speed Chase,91.46,Kupp my balls,134.44,0,1,12,2025,Regular Season
Kupp my balls,134.44,High Speed Chase,91.46,1,0,12,2025,Regular Season
Nix my Balls,165.18,Cook my Balls,98.52,1,0,12,2025,Regular Season
Njigbas in Paris,137.12,S(hamas),97.62,1,0,12,2025,Regular Season
S(hamas),97.62,Njigbas in Paris,137.12,0,1,12,2025,Regular Season
Saquon Bustley,89.46,Bower Rangers,96.56,0,1,12,2025,Regular Season
Team Chieffo,125.54,Beef One My Balls,103.92,1,0,12,2025,Regular Season
lets get this money,128.76,willimantic crack addicts,75.58,1,0,12,2025,Regular Season
willimantic crack addicts,75.58,lets get this money,128.76,0,1,12,2025,Regular Season
Beef One My Balls,88.22,Saquon Bustley,137.68,0,1,13,2025,Regular Season
Bower Rangers,104.84,willimantic crack addicts,135.34,0,1,13,2025,Regular Season
Cook my Balls,91.94,Njigbas in Paris,91.96,0,1,13,2025,Regular Season
High Speed Chase,107.34,Team Chieffo,96.94,1,0,13,2025,Regular Season
Kupp my balls,104.94,Nix my Balls,76.94,1,0,13,2025,Regular Season
Nix my Balls,76.94,Kupp my balls,104.94,0,1,13,2025,Regular Season
Njigbas in Paris,91.96,Cook my Balls,91.94,1,0,13,2025,Regular Season
S(hamas),142.32,lets get this money,129.3,1,0,13,2025,Regular Season
Saquon Bustley,137.68,Beef One My Balls,88.22,1,0,13,2025,Regular Season
Team Chieffo,96.94,High Speed Chase,107.34,0,1,13,2025,Regular Season
lets get this money,129.3,S(hamas),142.32,0,1,13,2025,Regular Season
willimantic crack addicts,135.34,Bower Rangers,104.84,1,0,13,2025,Regular Season
Beef One My Balls,131.34,willimantic crack addicts,90.9,1,0,14,2025,Regular Season
Bower Rangers,115.46,S(hamas),126.94,0,1,14,2025,Regular Season
Cook my Balls,83.26,lets get this money,89.7,0,1,14,2025,Regular Season
High Speed Chase,119.26,Saquon Bustley,93.12,1,0,14,2025,Regular Season
Kupp my balls,83.86,Njigbas in Paris,137.54,0,1,14,2025,Regular Season
Nix my Balls,115.38,Team Chieffo,54.4,1,0,14,2025,Regular Season
Njigbas in Paris,137.54,Kupp my balls,83.86,1,0,14,2025,Regular Season
S(hamas),126.94,Bower Rangers,115.46,1,0,14,2025,Regular Season
Saquon Bustley,93.12,High Speed Chase,119.26,0,1,14,2025,Regular Season
Team Chieffo,54.4,Nix my Balls,115.38,0,1,14,2025,Regular Season
lets get this money,89.7,Cook my Balls,83.26,1,0,14,2025,Regular Season
willimantic crack addicts,90.9,Beef One My Balls,131.34,0,1,14,2025,Regular Season
Beef One My Balls,127.42,lets get this money,93.1,1,0,15,2025,Quarterfinals
High Speed Chase,152.5,Njigbas in Paris,135.5,1,0,15,2025,Quarterfinals
Nix my Balls,126.4,Saquon Bustley,150.2,0,1,15,2025,Quarterfinals
Njigbas in Paris,135.5,High Speed Chase,152.5,0,1,15,2025,Quarterfinals
Saquon Bustley,150.2,Nix my Balls,126.4,1,0,15,2025,Quarterfinals
lets get this money,93.1,Beef One My Balls,127.42,0,1,15,2025,Quarterfinals
Beef One My Balls,143.66,High Speed Chase,159.76,0,1,16,2025,Semifinals
High Speed Chase,159.76,Beef One My Balls,143.66,1,0,16,2025,Semifinals
Kupp my balls,112.52,Saquon Bustley,145.8,0,1,16,2025,Semifinals
Saquon Bustley,145.8,Kupp my balls,112.52,1,0,16,2025,Semifinals
Beef One My Balls,95.78,Kupp my balls,94.68,1,0,17,2025,Third Place
High Speed Chase,155.7,Saquon Bustley,170.84,0,1,17,2025,Finals
Kupp my balls,94.68,Beef One My Balls,95.78,0,1,17,2025,Third Place
Saquon Bustley,170.84,High Speed Chase,155.7,1,0,17,2025,Finals
