Team,Points For,Opposing Team,Points Against,Win,Loss,Week,Year,Matchup Type
PEDeAndre Hopkins,152.28,Dylan ate my Fantasy Points,118.64,1,0,11,2022,Regular Season
Scammer got Scammed,91,Justin is Brown,158.16,0,1,11,2022,Regular Season
Silence D at work,122.8,My Boy,109.74,1,0,11,2022,Regular Season
The DakStreet Boys,88.64,Justin Jefferson,98.32,0,1,11,2022,Regular Season
Dave Sucks,95.86,PEDeAndre Hopkins,114.52,0,1,12,2022,Regular Season
Dylan ate my Fantasy Points,131.04,Justin is Brown,117.7,1,0,12,2022,Regular Season
Justin Jefferson,129.02,Scammer got Scammed,135.2,0,1,12,2022,Regular Season
Justin is Brown,117.7,Dylan ate my Fantasy Points,131.04,0,1,12,2022,Regular Season
My Boy,123.84,The DakStreet Boys,90.62,1,0,12,2022,Regular Season
Najee Germany,98.76,Silence D at work,116.42,0,1,12,2022,Regular Season
PEDeAndre Hopkins,114.52,Dave Sucks,95.86,1,0,12,2022,Regular Season
Scammer got Scammed,135.2,Justin Jefferson,129.02,1,0,12,2022,Regular Season
Silence D at work,116.42,Najee Germany,98.76,1,0,12,2022,Regular Season
The DakStreet Boys,90.62,My Boy,123.84,0,1,12,2022,Regular Season
Dave Sucks,69.04,Dylan ate my Fantasy Points,167.2,0,1,13,2022,Regular Season
Dylan ate my Fantasy Points,167.2,Dave Sucks,69.04,1,0,13,2022,Regular Season
Justin Jefferson,138.32,Justin is Brown,109.22,1,0,13,2022,Regular Season
Justin is Brown,109.22,Justin Jefferson,138.32,0,1,13,2022,Regular Season
My Boy,104.08,Scammer got Scammed,128.84,0,1,13,2022,Regular Season
Najee Germany,144,The DakStreet Boys,98.58,1,0,13,2022,Regular Season
PEDeAndre Hopkins,104.06,Silence D at work,115,0,1,13,2022,Regular Season
Scammer got Scammed,128.84,My Boy,104.08,1,0,13,2022,Regular Season
Silence D at work,115,PEDeAndre Hopkins,104.06,1,0,13,2022,Regular Season
